2step;InsectWingbeatSound;0.0005;873.000;0.619;120.203;3191.760;7.370
2step;InsectWingbeatSound;0.0005;855.014;0.614;91.933;3542.790;7.070
2step;InsectWingbeatSound;0.0010;967.817;0.625;114.049;9184.140;17.700
2step;InsectWingbeatSound;0.0010;909.155;0.612;70.785;4679.250;4.980
2step;InsectWingbeatSound;0.0050;1677.195;0.176;4.666;10471.650;1.000
2step;InsectWingbeatSound;0.0050;1661.920;0.183;4.436;4902.720;0.360
2step;InsectWingbeatSound;0.0100;1699.630;0.182;4.072;2927.110;0.170
2step;InsectWingbeatSound;0.0100;1699.630;0.182;4.072;3145.820;0.160
2step;ItalyPowerDemand;0.0005;69.100;0.942;17.688;15.620;0.160
2step;ItalyPowerDemand;0.0005;52.504;0.959;20.416;14.560;0.150
2step;ItalyPowerDemand;0.0010;90.358;0.930;17.841;15.470;0.150
2step;ItalyPowerDemand;0.0010;74.068;0.946;17.559;15.820;0.170
2step;ItalyPowerDemand;0.0050;167.825;0.905;13.571;15.540;0.170
2step;ItalyPowerDemand;0.0050;179.525;0.893;13.513;15.210;0.160
2step;ItalyPowerDemand;0.0100;302.930;0.817;11.169;16.010;0.150
2step;ItalyPowerDemand;0.0100;306.230;0.780;7.797;15.430;0.100
2step;LargeKitchenAppliances;0.0100;248.100;0.379;4.027;58734.080;0.050
2step;Lighting2;0.0005;25.901;0.639;127.918;1362.320;0.190
2step;Lighting2;0.0005;25.688;0.639;120.918;707.340;0.130
2step;Lighting2;0.0010;22.531;0.639;8.705;749.870;0.010
2step;Lighting2;0.0010;20.662;0.672;10.852;707.690;0.010
2step;Lighting2;0.0050;21.970;0.672;6.459;745.370;0.000
2step;Lighting2;0.0050;21.220;0.672;4.000;806.850;0.000
2step;Lighting2;0.0100;22.440;0.672;4.000;718.180;0.000
2step;Lighting2;0.0100;29.440;0.557;4.000;810.050;0.000
2step;Meat;0.0005;11.670;0.933;255.683;376.570;0.170
2step;Meat;0.0005;10.137;0.917;171.233;684.760;0.120
2step;Meat;0.0010;14.246;0.900;137.433;377.990;0.090
2step;Meat;0.0010;14.907;0.867;115.117;376.810;0.050
2step;Meat;0.0050;23.200;0.633;4.000;384.660;0.010
2step;Meat;0.0050;27.300;0.650;21.000;399.550;0.010
2step;Meat;0.0100;24.400;0.633;4.000;404.020;0.000
2step;Meat;0.0100;24.400;0.633;4.000;389.410;0.000
2step;MiddlePhalanxOutlineAgeGroup;0.0005;174.754;0.598;68.767;128.480;0.180
2step;MiddlePhalanxOutlineAgeGroup;0.0005;106.207;0.772;76.035;126.810;0.180
2step;MiddlePhalanxOutlineAgeGroup;0.0010;109.460;0.795;68.650;135.000;0.210
2step;MiddlePhalanxOutlineAgeGroup;0.0010;111.017;0.780;57.542;281.780;0.370
2step;MiddlePhalanxOutlineAgeGroup;0.0050;302.000;0.270;5.000;134.720;0.020
2step;MiddlePhalanxOutlineAgeGroup;0.0050;302.730;0.270;5.365;129.720;0.030
2step;MiddlePhalanxOutlineAgeGroup;0.0100;308.000;0.270;4.000;122.580;0.020
2step;MiddlePhalanxOutlineAgeGroup;0.0100;308.000;0.270;4.000;132.030;0.030
2step;MiddlePhalanxOutlineCorrect;0.0005;294.317;0.547;74.388;268.060;0.380
2step;MiddlePhalanxOutlineCorrect;0.0005;301.709;0.532;69.028;261.830;0.390
2step;MiddlePhalanxOutlineCorrect;0.0010;311.700;0.545;64.500;290.020;0.460
2step;MiddlePhalanxOutlineCorrect;0.0010;314.927;0.538;63.212;262.900;0.420
2step;MiddlePhalanxOutlineCorrect;0.0050;339.000;0.485;10.000;524.420;0.090
2step;MiddlePhalanxOutlineCorrect;0.0050;334.000;0.493;10.000;266.740;0.050
2step;MiddlePhalanxOutlineCorrect;0.0100;236.000;0.647;4.000;261.500;0.040
2step;MiddlePhalanxOutlineCorrect;0.0100;236.000;0.647;4.000;266.340;0.030
2step;MoteStrain;0.0005;229.687;0.824;15.475;21.830;0.170
2step;MoteStrain;0.0005;194.817;0.858;26.863;22.010;0.240
2step;MoteStrain;0.0010;224.570;0.843;22.819;22.280;0.230
2step;MoteStrain;0.0050;315.945;0.821;14.688;22.100;0.170
2step;MoteStrain;0.0050;326.270;0.818;15.698;22.560;0.110
2step;MoteStrain;0.0100;316.960;0.851;10.460;22.320;0.100
2step;MoteStrain;0.0100;395.480;0.790;10.581;22.530;0.090
2step;PhalangesOutlinesCorrect;0.0005;313.505;0.666;61.783;26246.910;7.360
2step;PhalangesOutlinesCorrect;0.0005;310.413;0.668;59.238;12313.250;4.170
2step;PhalangesOutlinesCorrect;0.0010;328.194;0.662;44.515;11212.790;4.210
2step;PhalangesOutlinesCorrect;0.0010;326.564;0.659;39.119;22317.660;7.940
2step;PhalangesOutlinesCorrect;0.0050;349.160;0.613;4.000;8745.400;0.080
2step;PhalangesOutlinesCorrect;0.0050;349.160;0.613;4.000;16776.650;0.120
2step;PhalangesOutlinesCorrect;0.0100;366.320;0.613;4.000;7461.210;0.070
2step;PhalangesOutlinesCorrect;0.0100;366.320;0.613;4.000;7481.950;0.070
2step;ProximalPhalanxOutlineAgeGroup;0.0005;37.575;0.844;54.395;442.390;0.190
2step;ProximalPhalanxOutlineAgeGroup;0.0005;36.776;0.849;56.356;452.220;0.200
2step;ProximalPhalanxOutlineAgeGroup;0.0010;36.390;0.859;36.049;490.620;0.220
2step;ProximalPhalanxOutlineAgeGroup;0.0010;35.145;0.859;29.976;420.810;0.220
2step;ProximalPhalanxOutlineAgeGroup;0.0050;32.100;0.863;4.000;412.920;0.020
2step;ProximalPhalanxOutlineAgeGroup;0.0050;32.100;0.863;4.000;389.600;0.010
2step;ProximalPhalanxOutlineAgeGroup;0.0100;36.200;0.863;4.000;360.060;0.010
2step;ProximalPhalanxOutlineAgeGroup;0.0100;37.200;0.859;4.000;408.660;0.010
2step;ProximalPhalanxOutlineCorrect;0.0005;57.037;0.838;68.983;886.010;0.320
2step;ProximalPhalanxOutlineCorrect;0.0005;55.163;0.849;76.718;920.360;0.390
2step;ProximalPhalanxOutlineCorrect;0.0010;61.827;0.838;50.952;896.260;0.330
2step;ProximalPhalanxOutlineCorrect;0.0010;68.786;0.814;50.811;998.040;0.490
